workspace,path,type,classification,purpose,confidence
github-a,src/app/api/v2/vocabulary/route.ts,route,KEEP,Vocabulary learning,HIGH
github-a,src/app/api/v2/progress/route.ts,route,KEEP,Progress; needs auth later,HIGH
github-a,src/app/api/v2/srs/route.ts,route,KEEP,SRS decks/cards,HIGH
github-a,src/app/api/v2/srs/review/route.ts,route,KEEP,SRS review; needs auth later,HIGH
github-a,src/app/api/v2/srs/sync/route.ts,route,KEEP,Mobile sync contract,HIGH
github-a,src/app/api/v2/xp/route.ts,route,KEEP,XP; needs auth later,HIGH
github-a,src/app/api/v2/streaks/route.ts,route,KEEP,Streaks; needs auth later,HIGH
github-a,src/app/api/v2/achievements/route.ts,route,KEEP,Achievements,HIGH
github-a,src/app/api/v2/audio/tts/route.ts,route,MODIFY,TTS placeholder; license/provider TBD,MEDIUM
github-a,src/app/api/ai/chat/route.ts,route,KEEP,AI chat; Phase 06,HIGH
github-a,src/app/api/ai/tutor/route.ts,route,KEEP,AI tutor,HIGH
github-a,src/app/api/ai/explain/grammar/[id]/route.ts,route,KEEP,Grammar explain,HIGH
github-a,src/services/knowledge/dictionary.ts,service,KEEP,Dictionary domain + pg_trgm search,HIGH
github-a,src/services/knowledge/kanji.ts,service,KEEP,Kanji domain,HIGH
github-a,src/services/knowledge/grammar.ts,service,KEEP,Grammar domain,HIGH
github-a,src/services/learning/course-engine.ts,service,KEEP,Courses,HIGH
github-a,src/services/learning/lesson-player.ts,service,KEEP,Lessons,HIGH
github-a,src/services/learning/quiz-engine.ts,service,KEEP,Quiz,HIGH
github-a,src/services/learning/jlpt-engine.ts,service,KEEP,JLPT,HIGH
github-a,src/services/learning/test-engine.ts,service,KEEP,Timed tests,HIGH
github-a,src/services/learning/listening.ts,service,KEEP,Listening,HIGH
github-a,src/services/learning/progress-engine.ts,service,KEEP,Progress,HIGH
github-a,src/services/learning/vocabulary-learning.ts,service,KEEP,Vocab learning,HIGH
github-a,src/services/srs/algorithm.ts,service,KEEP,SRS algorithm,HIGH
github-a,src/services/srs/scheduler.ts,service,KEEP,SRS scheduler,HIGH
github-a,src/services/srs/service.ts,service,KEEP,SRS service,HIGH
github-a,src/services/srs/review-session.ts,service,MODIFY,In-memory Map; needs durable store,MEDIUM
github-a,src/services/srs/sync.ts,service,KEEP,Mobile sync,HIGH
github-a,src/services/gamification/xp-engine.ts,service,KEEP,XP,HIGH
github-a,src/services/gamification/streaks.ts,service,KEEP,Streaks,HIGH
github-a,src/services/gamification/achievements.ts,service,KEEP,Achievements,HIGH
github-a,src/services/ai/knowledge-retrieval.ts,service,KEEP,RAG retrieval from platform knowledge,HIGH
github-a,src/services/ai/rag-pipeline.ts,service,KEEP,RAG pipeline,HIGH
github-a,src/services/ai/llm-provider.ts,service,MODIFY,Provider abstraction; secrets via env later,HIGH
github-a,src/services/ai/tutor-chat.ts,service,KEEP,Tutor chat,HIGH
github-a,src/app/page.tsx,component,MODIFY,Integration control tower UI,HIGH
github-a,src/app/layout.tsx,component,KEEP,NihongoBridge layout metadata,HIGH
github-a,src/app/docs/page.tsx,component,KEEP,Docs index,HIGH
github-a,src/app/docs/[slug]/page.tsx,component,KEEP,Masterplan renderer,HIGH
github-a,etl/sources/registry.ts,etl,KEEP,License-aware source registry,HIGH
github-a,etl/pipelines/jmdict.ts,etl,MODIFY,Parser stub yields 0 records,HIGH
github-a,etl/parsers/base.ts,etl,MODIFY,Interface only; no XML SAX parser,HIGH
github-a,etl/pipelines/base.ts,etl,KEEP,9-stage pipeline framework,HIGH
github-a,etl/enrichment/conjugations.ts,etl,KEEP,Conjugation enrichment,HIGH
github-a,etl/tests/pipeline.test.ts,test,KEEP,Only automated test on GitHub A,HIGH
github-a,nihongobridge-integration-masterplan/reports/audits/repo-audit.md,docs,ARCHIVE,Stale Phase 00 (Repo B unavailable),HIGH
github-a,nihongobridge-integration-masterplan/TARGET_ARCHITECTURE.md,docs,MODIFY,Frozen on stale empty-A assumption,HIGH
github-a,nihongobridge-integration-masterplan/DECISION_LOG.md,docs,MODIFY,Update with DEC-0008+,HIGH
github-a,nihongobridge-integration-masterplan/RISK_REGISTER.md,docs,MODIFY,Update with RISK-0012+,HIGH
